,start,end,ward,2_geo_location_of_busstop_latitude,2_geo_location_of_busstop_longitude,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service_private_buses,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service_ksrtc_long_distance,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service_ksrtc_city_service,4_does_the_bus_stop_has_a_physical_structure_roof_and_structure,5_are_bus_stops_disabled_friendly_yes_no,6_how_many_people_can_sit_in_the_bus_stop_comfortably,7_what_is_the_roof_condition_of_bus_stops,8_is_there_a_separate_section_for_women_yes_no,9_is_there_any_advertisement_on_the_bus_stop_yes_no,10_are_there_any_political_advertisements_relating_to_political_figures_or_parties_at_the_bus_stop,11_end_destinations_from_the_bus_stop,12_distance_to_nearest_auto_stand_km,12_distance_to_nearest_bus_stop_km,12_distance_to_nearest_metro_station_km,15_distance_to_public_toilet_sulabh_comfort_stations_km,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both_upi,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both_cash,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both_both,17_number_of_buses_passing_the_bus_stop_during_peak_hours,18_does_a_passenger_get_a_sear_in_morning_peak_hours_from_the_bus_stop,19_does_a_passenger_get_a_sear_in_evening_peak_hours_from_the_bus_stop,20_does_a_passenger_get_a_sear_in_non_peak_hours_from_the_bus_stop,21_do_you_have_shop_to_buy_food_and_water_general_store_or_other_local_alternatives,22_is_there_any_pharmacy_nearby,23_is_there_any_atm_nearby,24_are_there_lights_at_the_bus_stop_especially_working_during_the_night,25_dustbin_available_at_the_bus_stop,26_nature_sture_of_seating_in_the_bus_stop,27_cctv_coverage_of_bus_stops_from_nearby_shops_etc,28_language_for_information_at_the_bus_stop,28_language_for_information_at_the_bus_stop_english,28_language_for_information_at_the_bus_stop_malayalam,28_language_for_information_at_the_bus_stop_hindi,28_language_for_information_at_the_bus_stop_bengali,28_language_for_information_at_the_bus_stop_tamil,28_language_for_information_at_the_bus_stop_others,29_are_the_timings_of_the_buses_displayed_at_the_bus_stop,30_are_the_bus_routes_written_at_the_bus_stop,31_time_of_first_bus_from_the_stop,32_time_of_last_bus_from_the_stop,15_distance_to_public_toilet_sulabh_comfort_stations_m,id,uuid,submission_time,status,version,index,source_sheet,latitude,longitude,ward
10,22:06.0,53:58.0,54,9.9780055,76.2968947,Private Buses KSRTC city service,1,0,1,Yes,,7,Average (Proper Roofing),No,Yes,No,,0.3,0.3,0.3,,Cash,0,1,0,15,Yes,Yes,Yes,No,No,No,Yes,No,No seats,Yes,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 05:00:00+05:30,2025-09-16 23:00:00+05:30,0.4,558554897,0fe61251-3c88-4cc9-9b14-096199b63669,9/14/2025 5:24,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,18,Sheet1,9.9780055,76.2968947,54
11,54:57.1,54:05.9,54,9.974759,76.29793,Private Buses KSRTC city service,1,0,1,Yes,,5,Good (High quality roof and aesthic),No,Yes,No,,0.1,0.2,0.2,,Cash,0,1,0,15,Yes,Yes,Yes,Yes,No,No,Yes,No,No seats,Yes,Malayalam,0,1,0,0,0,0,No,Yes,2025-09-16 05:30:00+05:30,2025-09-16 23:30:00+05:30,,558554935,05cb1506-23d5-47ae-81b7-67e78a630b3d,9/14/2025 5:24,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,19,Sheet1,9.974759,76.29793,54
12,57:54.6,54:17.7,54,9.967639,76.305049,Private Buses KSRTC city service,1,0,1,Yes,,7,Average (Proper Roofing),No,No,No,,0.1,1,0.15,,Cash,0,1,0,20,No,No,Yes,Yes,Yes,Yes,Yes,No,No seats,Yes,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 05:00:00+05:30,2025-09-16 23:15:00+05:30,,558554991,eebe047b-49a7-479f-acea-e13b533d082a,9/14/2025 5:24,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,20,Sheet1,9.967639,76.305049,54
13,05:16.8,54:25.4,54,9.967067,76.308335,Private Buses KSRTC city service,1,0,1,Yes,,7,Average (Proper Roofing),No,No,No,,0.13,1.5,0.4,,Cash,0,1,0,20,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No seats,Yes,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 06:00:00+05:30,2025-09-16 23:30:00+05:30,,558555024,c24781fb-8465-4e33-afa5-7b7f4791a0c4,9/14/2025 5:24,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,21,Sheet1,9.967067,76.308335,54
14,11:57.9,55:01.6,64,9.98816,76.295364,Private Buses KSRTC city service,1,0,1,Yes,,8,Average (Proper Roofing),No,No,No,,0.16,0.2,0.02,,Both,0,0,1,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Metal rod,Yes,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 05:00:00+05:30,2025-09-16 00:30:00+05:30,0.15,558555219,bad519a4-179b-4818-8169-71c7dcd6e05c,9/14/2025 5:25,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,22,Sheet1,9.98816,76.295364,64
15,15:26.3,55:12.1,64,9.9901,76.29448,Private Buses KSRTC city service,1,0,1,Yes,,10,Average (Proper Roofing),No,Yes,No,,,0.2,1.5,,Cash,0,1,0,25,Yes,No,Yes,Yes,No,No,Yes,No,Metal rod,Yes,Malayalam,0,1,0,0,0,0,No,No,,,,558555279,d5f58999-a02c-4e9c-aeac-2a40b075cce4,9/14/2025 5:25,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,23,Sheet1,9.9901,76.29448,64
16,24:28.9,56:28.6,64,9.986222,76.295954,Private Buses KSRTC city service,1,0,1,No,,0,Poor (Broken/Leaking/Rusted Roofs),No,No,No,,0.15,0.76,1.3,,Both,0,0,1,25,Yes,Yes,Yes,Yes,No,No,No,No,No seats,No,Malayalam,0,1,0,0,0,0,No,No,,,1.2,558555641,d66650d9-b307-438a-a7ff-1f13c1c943e4,9/14/2025 5:26,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,24,Sheet1,9.986222,76.295954,64
17,28:02.6,56:35.2,64,9.983762,76.295634,Private Buses KSRTC city service,1,0,1,Yes,,10,Average (Proper Roofing),No,No,No,,0.2,0.25,1.2,,Both,0,0,1,20,No,No,Yes,Yes,No,No,Yes,No,Bench,Yes,Malayalam,0,1,0,0,0,0,No,Yes,2025-09-16 05:45:00+05:30,2025-09-16 23:30:00+05:30,,558555679,daad6c20-60a0-4ba5-942e-0bf936281af5,9/14/2025 5:26,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,25,Sheet1,9.983762,76.295634,64
18,27:12.3,42:09.4,1,9.968504,76.245344,Private Buses,1,0,0,No,,0,Poor (Broken/Leaking/Rusted Roofs),No,,No,,50,200,,10,Cash,0,1,0,10,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Bench,Yes,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 06:00:00+05:30,2025-09-16 22:30:00+05:30,,558569953,67d53672-204b-41cc-b687-eb7663799c2f,9/14/2025 6:12,submitted_via_web,vjKxXgSaZgFPrzfP52sEjs,26,Sheet1,9.968504,76.245344,1
19,42:09.4,49:43.6,1,9.967855,76.246836,Private Buses,1,0,0,Yes,,10,Good (High quality roof and aesthic),No,No,No,,0.1,0.26,,0.05,Cash,0,1,0,10,Yes,Yes,Yes,No,No,No,No,No,Cement seats,No,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 06:00:00+05:30,2025-09-16 22:30:00+05:30,,558572227,8e3b26e4-de9c-4036-a759-dbf4e4ac8154,9/14/2025 6:19,submitted_via_web,vjKxXgSaZgFPrzfP52sEjs,27,Sheet1,9.967855,76.246836,1
